Name,Archetype,Variant,Placement,Date,Format,Day
"Bugden, Johnny",Spright,Tri-Brigade,1,1/4/2023,12/01/2022,Wednesday
"Sharpe, Chris",ABC,Adventurer Token,2,1/4/2023,12/01/2022,Wednesday
"Good, Keenan",Swordsoul,Tenyi,3,1/4/2023,12/01/2022,Wednesday
"Marshall, Nick",Dinosaur,Pure,4,1/4/2023,12/01/2022,Wednesday
"Good, Keenan",Swordsoul,Tenyi,1,1/8/2023,12/01/2022,Sunday
"Brown, CJ",Tearlaments,Ishizu,2,1/8/2023,12/01/2022,Sunday
"Sharpe, Chris",ABC,Adventurer Token,3,1/8/2023,12/01/2022,Sunday
"Kelly, Evan",Spright,Bystial,4,1/8/2023,12/01/2022,Sunday
"Combden, Blake",Branded,Tearlaments,1,1/11/2023,12/01/2022,Wednesday
"Bugden, Johnny",Spright,Adventurer Token,2,1/11/2023,12/01/2022,Wednesday
"Kelly, Evan",Spright,Bystial,3,1/11/2023,12/01/2022,Wednesday
"Brown, CJ",Tearlaments,Ishizu,4,1/11/2023,12/01/2022,Wednesday
"Brown, CJ",Tearlaments,Ishizu,1,1/15/2023,12/01/2022,Sunday
"Sharpe, Chris",ABC,Adventurer Token,2,1/15/2023,12/01/2022,Sunday
"Critch, Matthew",Floowandereeze,Pure,3,1/15/2023,12/01/2022,Sunday
"Good, Keenan",Swordsoul,Tenyi,4,1/15/2023,12/01/2022,Sunday
"Bugden, Johnny",Spright,Adventurer Token,1,1/18/2023,12/01/2022,Wednesday
"Combden, Blake",Branded,Tearlaments,2,1/18/2023,12/01/2022,Wednesday
"Kelly, Evan",Runick,Naturia,3,1/18/2023,12/01/2022,Wednesday
"Good, Keenan",Swordsoul,Tenyi,4,1/18/2023,12/01/2022,Wednesday
"Sharpe, Chris",ABC,Adventurer Token,1,1/22/2023,12/01/2022,Sunday
"Marshall, Nick",Spright,Pure,2,1/22/2023,12/01/2022,Sunday
"Wells, Nick",Lyrilusc,Pure,3,1/22/2023,12/01/2022,Sunday
"Fifield, Jacob",Exodia,Pure,4,1/22/2023,12/01/2022,Sunday
"Brown, CJ",Tearlaments,Ishizu,1,1/29/2023,12/01/2022,Sunday
"Butt, Steve",Kashtira,Pure,2,1/29/2023,12/01/2022,Sunday
"Critch, Matthew",Floowandereeze,Pure,3,1/29/2023,12/01/2022,Sunday
"Critch, Thomas",Tearlaments,Ishizu,4,1/29/2023,12/01/2022,Sunday
"Kelly, Evan",Spright,Bystial,1,2/1/2023,12/01/2022,Wednesday
"Combden, Blake",Tearlaments,Ishizu,2,2/1/2023,12/01/2022,Wednesday
"Good, Keenan",Swordsoul,Tenyi,3,2/1/2023,12/01/2022,Wednesday
"Brown, CJ",Tearlaments,Ishizu,4,2/1/2023,12/01/2022,Wednesday
"Good, Keenan",Swordsoul,Tenyi,1,2/5/2023,12/01/2022,Sunday
"Martino, Sam",Exosister,Pure,2,2/5/2023,12/01/2022,Sunday
"Sears, Ben",Abyss Actor,Pure,3,2/5/2023,12/01/2022,Sunday
"Critch, Matthew",Dracoslayer,Pure,4,2/5/2023,12/01/2022,Sunday
"Marshall, Nick",Spright,Pure,1,2/8/2023,12/01/2022,Wednesday
"Sharpe, Chris",ABC,Adventurer Token,2,2/8/2023,12/01/2022,Wednesday
"Critch, Matthew",Floowandereeze,Pure,3,2/8/2023,12/01/2022,Wednesday
"Martino, Sam",Exosister,Pure,4,2/8/2023,12/01/2022,Wednesday
"Freeman, Shane",Kashtira,Adventurer Token,1,2/12/2023,12/01/2022,Sunday
"Hunt, Tyler",Rescue-Ace,Pure,2,2/12/2023,12/01/2022,Sunday
"Critch, Thomas",Tearlaments,Ishizu,3,2/12/2023,12/01/2022,Sunday
"Good, Keenan",Swordsoul,Tenyi,4,2/12/2023,12/01/2022,Sunday
"Combden, Blake",Branded,Bystial,1,2/15/2023,02/13/2023,Wednesday
"Kelly, Evan",Subterror,Pure,2,2/15/2023,02/13/2023,Wednesday
"Marshall, Nick",Dinosaur,Pure,3,2/15/2023,02/13/2023,Wednesday
"Good, Keenan",Swordsoul,Tenyi,4,2/15/2023,02/13/2023,Wednesday
"Brown, CJ",Swordsoul,Tenyi,1,2/19/2023,02/13/2023,Sunday
"Kelly, Evan",Runick,Spright,2,2/19/2023,02/13/2023,Sunday
"Sharpe, Chris",ABC,Adventurer Token,3,2/19/2023,02/13/2023,Sunday
"Mercer, Matthew",Springan,Adventurer Token,4,2/19/2023,02/13/2023,Sunday
"Good, Keenan",Swordsoul,Tenyi,1,2/26/2023,02/13/2023,Sunday
"Marshall, Nick",Traptrix,Pure,2,2/26/2023,02/13/2023,Sunday
"Critch, Matthew",Swordsoul,Tenyi,3,2/26/2023,02/13/2023,Sunday
"Kelly, Evan",Spright,Live★Twin,4,2/26/2023,02/13/2023,Sunday
"Butt, Steve",Kashtira,Pure,1,3/1/2023,02/13/2023,Wednesday
"Kelly, Evan",Branded,Despia,2,3/1/2023,02/13/2023,Wednesday
"Hunt, Tyler",Rescue-Ace,Pure,3,3/1/2023,02/13/2023,Wednesday
"Good, Keenan",Swordsoul,Tenyi,4,3/1/2023,02/13/2023,Wednesday
"Good, Keenan",Swordsoul,Tenyi,1,3/8/2023,02/13/2023,Wednesday
"Martin, Crystal",Blue-Eyes,Pure,2,3/8/2023,02/13/2023,Wednesday
"Brown, CJ",Libromancer,Mikanko,3,3/8/2023,02/13/2023,Wednesday
"Parsley, Nathan",Scareclaw,Pure,4,3/8/2023,02/13/2023,Wednesday
"Good, Keenan",Swordsoul,Tenyi,1,3/12/2023,02/13/2023,Sunday
"Critch, Matthew",Kashtira,Pure,2,3/12/2023,02/13/2023,Sunday
"Joseph, Daniel",Drytron,Pure,3,3/12/2023,02/13/2023,Sunday
"Sharpe, Chris",ABC,Adventurer Token,4,3/12/2023,02/13/2023,Sunday
"Critch, Thomas",Salamangreat,Adventurer Token,1,3/15/2023,02/13/2023,Wednesday
"Kelly, Evan",Spright,Live★Twin,2,3/15/2023,02/13/2023,Wednesday
"Good, Keenan",Swordsoul,Tenyi,3,3/15/2023,02/13/2023,Wednesday
"Hart, Jonah",Sky Striker,Pure,4,3/15/2023,02/13/2023,Wednesday
"Critch, Matthew",Kashtira,Pure,1,3/19/2023,02/13/2023,Sunday
"Kelly, Evan",Spright,Live★Twin,2,3/19/2023,02/13/2023,Sunday
"Marshall, Nick",Traptrix,Pure,3,3/19/2023,02/13/2023,Sunday
"Bugden, Johnny",Spright,Pure,4,3/19/2023,02/13/2023,Sunday
"Kelly, Evan",Spright,Live★Twin,1,3/22/2023,02/13/2023,Wednesday
"Bugden, Johnny",Spright,Tri-Brigade,2,3/22/2023,02/13/2023,Wednesday
"Marshall, Nick",Traptrix,Pure,3,3/22/2023,02/13/2023,Wednesday
"Brown, CJ",Swordsoul,Tenyi,4,3/22/2023,02/13/2023,Wednesday
"Critch, Matthew",Kashtira,Pure,1,3/26/2023,02/13/2023,Sunday
"Bugden, Johnny",Spright,Pure,2,3/26/2023,02/13/2023,Sunday
"Mesher, Brandon",Traptrix,Pure,3,3/26/2023,02/13/2023,Sunday
"Joseph, Daniel",Branded,Despia,4,3/26/2023,02/13/2023,Sunday
"Kelly, Evan",Spright,Live★Twin,1,4/2/2023,02/13/2023,Sunday
"Sharpe, Chris",ABC,Adventurer Token,2,4/2/2023,02/13/2023,Sunday
"Bugden, Johnny",HERO,Pure,3,4/2/2023,02/13/2023,Sunday
"Muise, Jonathon",Branded,Despia,4,4/2/2023,02/13/2023,Sunday
"Brown, CJ",Tearlaments,Ishizu,1,4/5/2023,02/13/2023,Wednesday
"Bugden, Johnny",HERO,Pure,2,4/5/2023,02/13/2023,Wednesday
"Freeman, Shane",Kashtira,Pure,3,4/5/2023,02/13/2023,Wednesday
"Sharpe, Chris",ABC,Adventurer Token,4,4/5/2023,02/13/2023,Wednesday
"Kelly, Evan",Spright,Live★Twin,1,4/12/2023,02/13/2023,Wednesday
"Hunt, Tyler",Floowandereeze,pure,2,4/12/2023,02/13/2023,Wednesday
"Sharpe, Chris",ABC,Adventurer Token,3,4/12/2023,02/13/2023,Wednesday
"Martino, Sam",Exosister,Pure,4,4/12/2023,02/13/2023,Wednesday
"Davis, Kent",Mathmech,Pure,1,4/16/2023,02/13/2023,Sunday
"Downs, Darnell",Gold Pride,P.U.N.K.,2,4/16/2023,02/13/2023,Sunday
"Kelly, Evan",Spright,Live★Twin,3,4/16/2023,02/13/2023,Sunday
"Muise, Jonathon",Branded,Despia,4,4/16/2023,02/13/2023,Sunday
"Kelly, Evan",Runick,Live★Twin,1,4/19/2023,02/13/2023,Wednesday
"Wells, Koady",Traptrix,Pure,2,4/19/2023,02/13/2023,Wednesday
"Purchase, Jared",Plunder Patroll,Adventurer Token,3,4/19/2023,02/13/2023,Wednesday
"Critch, Matthew",Kashtira,Pure,4,4/19/2023,02/13/2023,Wednesday
"Bugden, Johnny",Spright,Tri-Brigade,1,4/23/2023,02/13/2023,Sunday
"Li, Jamon",Rikka,Pure,2,4/23/2023,02/13/2023,Sunday
"Freeman, Shane",Kashtira,Pure,3,4/23/2023,02/13/2023,Sunday
"Critch, Thomas",Traptrix,Pure,4,4/23/2023,02/13/2023,Sunday
